,index,Cell_ID,Sum_Nearest,Sum_overshooting,Sum_Blocked,Sum_Bad_Coverge,Sum_Loaded,Sum_cross_sector,Sum_back_lobe
140,140,G63207,0,0,32,0,3,0,0
141,141,G6320A,94,0,0,0,0,0,0
142,142,G6320C,31,0,52,1,1,0,0
143,143,G63211,0,3,0,0,0,0,0
144,144,G63215,1,0,0,0,0,0,0
145,145,G63216,61,0,0,0,0,0,0
146,146,G63217,74,0,5,0,0,0,0
147,147,G63232,9,0,11,0,0,0,0
148,148,G63233,5,0,4,0,0,0,0
149,149,G63235,107,0,4,0,3,0,0
150,150,G63236,72,0,22,0,0,0,0
151,151,G6323A,23,0,0,0,0,0,0
152,152,G6323C,0,0,52,0,0,0,0
153,153,G63247,14,0,0,0,0,0,0
154,154,G63262,22,0,0,0,0,0,0
155,155,G63263,102,0,21,0,0,0,0
156,156,G63265,1,0,0,0,0,0,0
157,157,G63266,2,0,1,0,1,0,0
158,158,G63267,46,0,0,1,0,0,0
159,159,G6326A,68,0,3,0,0,0,0
160,160,G6326B,12,0,9,0,5,0,0
161,161,G6326C,17,0,0,0,0,0,0
162,162,G63271,10,0,0,0,0,0,0
163,163,G63275,60,0,0,0,0,0,0
164,164,G63276,15,0,0,0,0,0,0
165,165,G63277,34,0,9,0,1,0,0
166,166,G6327A,62,0,0,0,0,0,0
167,167,G6327C,34,0,1,0,0,0,0
168,168,GD20141,109,1,5,0,0,0,0
169,169,GD20142,155,0,6,2,0,0,0
170,170,GD20143,201,20,8,8,2,0,0
171,171,GD20145,82,0,26,0,3,0,0
172,172,GD20146,173,0,8,1,1,0,0
173,173,GD20147,179,0,0,1,0,0,0
174,174,GD2014A,120,0,0,0,0,0,0
175,175,GD2014B,126,0,0,0,0,0,0
176,176,GD2014C,172,0,10,3,6,0,0
177,177,GD20153,10,0,0,0,0,0,0
178,178,GD21075,0,83,0,0,0,0,0
179,179,GD31057,0,2,0,0,0,0,0
180,180,GD31371,193,0,0,0,0,0,0
181,181,GD31373,0,0,4,0,0,0,0
182,182,GD31375,35,0,9,0,0,0,0
183,183,GD31376,48,0,3,0,0,0,0
184,184,GD3137A,125,7,0,1,0,0,0
185,185,GD3137B,78,0,22,2,7,0,0
186,186,GD3137C,42,1,41,2,5,0,0
187,187,GD32251,0,0,6,0,1,0,0
188,188,GD32252,135,0,2,0,2,0,0
189,189,GD32253,63,0,0,0,1,0,0
190,190,GD32255,32,0,0,0,0,0,0
191,191,GD32256,308,5,1,0,0,0,0
192,192,GD32257,144,0,0,1,0,0,0
193,193,GD3225A,44,0,0,0,0,0,0
194,194,GD3225B,20,0,0,0,0,0,0
195,195,GD3225C,15,0,0,0,0,0,0
196,196,GD33083,0,8,0,0,0,0,0
197,197,GD34016,0,1,0,0,0,0,0
198,198,GD34121,97,0,0,15,0,0,0
199,199,GD34122,116,0,0,0,0,0,0
200,200,GD34123,152,8,0,0,0,0,0
201,201,GD34125,118,0,0,6,0,0,0
202,202,GD34127,3,0,0,0,0,0,0
203,203,GD3412A,394,0,0,9,0,0,0
204,204,GD3412B,85,0,0,2,0,0,0
205,205,GD3412C,64,0,40,0,0,0,0
206,206,GD3412D,81,0,3,0,1,0,0
207,207,GD34342,0,2,0,0,0,0,0
208,208,GD34347,0,1,0,0,0,0,0
209,209,GD36581,0,2,0,0,0,0,0
210,210,GD37717,0,62,0,0,0,0,0
211,211,GD37852,0,1,0,0,0,0,0
212,212,GD37858,0,2,0,0,0,0,0
213,213,GD39303,0,25,0,0,0,0,0
214,214,GD39345,0,1,0,0,0,0,0
215,215,GD41601,1,0,0,0,0,0,0
216,216,GD41602,11,0,0,0,0,0,0
217,217,GD41603,153,0,14,0,12,0,0
218,218,GD41607,5,0,0,0,0,0,0
219,219,GD68542,30,1,4,0,4,0,0
220,220,GD68543,58,0,0,0,0,0,0
221,221,GD68545,72,0,0,0,0,0,0
222,222,GD68546,9,0,2,0,1,0,0
223,223,GD6854A,61,0,19,2,14,0,0
224,224,GD6854B,38,0,15,0,1,0,0
225,225,GD6854C,4,1,0,0,0,0,0
226,226,GD68551,0,0,5,0,0,0,0
227,227,GD68552,13,0,32,0,9,0,0
228,228,GD68553,51,0,0,0,0,0,0
229,229,GD68555,6,0,0,0,0,0,0
230,230,GD6855A,2,0,0,0,0,0,0
231,231,GD70811,0,17,1,0,0,0,0
232,232,GD70821,38,0,3,0,0,0,0
233,233,GD70822,4,0,8,0,0,0,0
234,234,GD70823,69,0,1,0,0,0,0
235,235,GD70825,1,0,0,0,0,0,0
236,236,GD70826,8,5,8,0,0,0,0
237,237,GD70827,137,0,0,0,0,0,0
238,238,GD7082A,10,0,4,0,0,0,0
239,239,GD7082B,16,0,0,0,0,0,0
240,240,GD7082C,66,0,0,0,0,0,0
241,241,GD73581,10,0,0,0,0,0,0
242,242,GD73583,0,1,0,0,0,0,0
243,243,GD73586,18,0,0,0,0,0,0
244,244,GD7358A,86,0,0,0,0,0,0
245,245,GD7358B,32,0,6,0,2,0,0
246,246,GD7358C,35,0,0,0,0,0,0
247,247,GD73805,0,2,0,0,0,0,0
248,248,GD74411,0,8,0,0,0,0,0
249,249,GD75991,24,0,2,0,0,0,0
250,250,GD75992,158,0,0,0,0,0,0
251,251,GD75993,38,25,8,0,0,0,0
252,252,GD75995,111,2,4,0,3,0,0
253,253,GD75996,81,4,0,0,0,0,0
254,254,GD75997,77,17,0,0,0,0,0
255,255,GD7599A,52,4,0,0,0,0,0
256,256,GD7599B,70,20,0,0,0,0,0
257,257,GD7599C,16,2,0,0,0,0,0
258,258,GD76351,140,0,13,0,2,0,0
259,259,GD76352,125,0,0,0,0,0,0
260,260,GD76353,36,0,0,0,0,0,0
261,261,GD76355,111,1,22,9,1,0,0
262,262,GD76356,203,0,0,0,0,0,0
263,263,GD76357,54,0,0,0,0,0,0
264,264,GD7635A,254,8,0,2,0,0,0
265,265,GD7635B,167,0,0,0,0,0,0
266,266,GD7635C,37,0,13,0,8,0,0
267,267,GD76533,0,0,13,0,0,0,0
268,268,GD76534,51,0,0,2,0,0,0
269,269,GD76537,37,0,0,0,0,0,0
270,270,GD7653C,12,0,0,0,0,0,0
271,271,GD7653D,78,2,0,0,0,0,0
272,272,GD76541,4,0,13,0,3,0,0
273,273,GD76542,59,1,0,0,0,0,0
274,274,GD76543,10,0,0,0,0,0,0
