,Lat_drive,Lon_drive,Lat_Cell,Lon_Cell,Ant_Dirction,Cell,States
23261,30.574278000000003,31.479543,30.58304167,31.4822,5.0,G59605,Nearest
23262,30.574306,31.479645,30.58304167,31.4822,5.0,G59605,Nearest
23263,30.574325,31.479726,30.58304167,31.4822,250.0,G59608,Nearest
23264,30.574334000000004,31.479778999999997,30.58304167,31.4822,5.0,G59605,Nearest
23265,30.574354,31.479916999999997,30.58304167,31.4822,5.0,G59605,Nearest
23266,30.574365000000004,31.479959,30.58304167,31.4822,5.0,G59605,Nearest
23267,30.574403999999998,31.480128999999998,30.58304167,31.4822,5.0,G59605,Nearest
23268,30.574424,31.480223,30.58304167,31.4822,5.0,G59605,Nearest
23269,30.574438,31.480338,30.58304167,31.4822,5.0,G59605,Nearest
23270,30.574441999999998,31.480407,30.58304167,31.4822,5.0,G59605,Nearest
23271,30.57445,31.480488,30.58304167,31.4822,5.0,G59605,Nearest
23272,30.574461,31.480559999999997,30.58304167,31.4822,250.0,G59608,Nearest
23273,30.574476,31.480620000000002,30.58304167,31.4822,5.0,G59605,Nearest
23274,30.574488,31.480671,30.58304167,31.4822,5.0,G59605,Nearest
23275,30.574496999999997,31.480733,30.58304167,31.4822,5.0,G59605,Nearest
23276,30.574501,31.480809000000004,30.58304167,31.4822,250.0,G59608,Nearest
23277,30.574502000000003,31.480889,30.58304167,31.4822,5.0,G59605,Nearest
23278,30.574508,31.480954999999998,30.58304167,31.4822,5.0,G59605,Nearest
23279,30.574513,31.481005,30.58304167,31.4822,70.0,G59606,Nearest
23280,30.574512,31.481138,30.58304167,31.4822,70.0,G59606,Nearest
23281,30.574509000000003,31.481231,30.58304167,31.4822,5.0,G59605,Nearest
23282,30.574501,31.481333000000003,30.58304167,31.4822,5.0,G59605,Nearest
23283,30.57449,31.481433000000003,30.58304167,31.4822,5.0,G59605,Nearest
23284,30.574472999999998,31.481529,30.58304167,31.4822,5.0,G59605,Nearest
23285,30.574453000000002,31.481632,30.58304167,31.4822,5.0,G59605,Nearest
23286,30.574445,31.481727000000003,30.58304167,31.4822,5.0,G59605,Nearest
23287,30.574434999999998,31.481826,30.58304167,31.4822,5.0,G59605,Nearest
23288,30.574415999999996,31.481917,30.58304167,31.4822,5.0,G59605,Nearest
23289,30.574393,31.482003000000002,30.58304167,31.4822,5.0,G59605,Nearest
23290,30.574381,31.482082000000002,30.58304167,31.4822,5.0,G59605,Nearest
23291,30.574374,31.482156,30.58304167,31.4822,5.0,G59605,Nearest
23292,30.574354,31.482225,30.58304167,31.4822,5.0,G59605,Nearest
23293,30.57433,31.482284000000003,30.58304167,31.4822,5.0,G59605,Nearest
23294,30.574309999999997,31.482343,30.58304167,31.4822,5.0,G59605,Nearest
23295,30.574296,31.482398999999997,30.58304167,31.4822,5.0,G59605,Nearest
23296,30.574279999999998,31.482468,30.58304167,31.4822,5.0,G59605,Nearest
23297,30.574261,31.482545000000002,30.58304167,31.4822,5.0,G59605,Nearest
23298,30.574240000000003,31.482628000000002,30.58304167,31.4822,5.0,G59605,Nearest
23299,30.574213,31.482695,30.58304167,31.4822,5.0,G59605,Nearest
23300,30.574176,31.482770000000002,30.58304167,31.4822,5.0,G59605,Nearest
23301,30.574131,31.482861,30.58304167,31.4822,5.0,G59605,Nearest
23302,30.574114,31.482888,30.58304167,31.4822,5.0,G59605,Nearest
23303,30.574105,31.48293,30.58304167,31.4822,5.0,G59605,Nearest
23304,30.574095,31.48297,30.58304167,31.4822,5.0,G59605,Nearest
23305,30.574074,31.483013,30.58304167,31.4822,5.0,G59605,Nearest
23306,30.574061,31.483061,30.58304167,31.4822,5.0,G59605,Nearest
23307,30.574051,31.483194,30.58304167,31.4822,70.0,G59606,Nearest
23308,30.574074,31.483231,30.58304167,31.4822,70.0,G59602,Nearest
23309,30.574097,31.483247,30.58304167,31.4822,70.0,G59602,Nearest
23310,30.574126,31.48325,30.58304167,31.4822,70.0,G59602,Nearest
23311,30.574165,31.483242999999998,30.58304167,31.4822,5.0,G59601,Nearest
23312,30.57422,31.483231,30.58304167,31.4822,5.0,G59601,Nearest
23313,30.574316999999997,31.483206,30.58304167,31.4822,5.0,G59601,Nearest
23314,30.574401,31.483188000000002,30.58304167,31.4822,5.0,G59601,Nearest
23315,30.574445,31.483188000000002,30.58304167,31.4822,5.0,G59601,Nearest
23316,30.574493,31.483178000000002,30.58304167,31.4822,5.0,G59601,Nearest
