,index,Cell_ID,Lat_Cell,Lon_Cell,Ant_Dirction,Sum_Nearest,Sum_overshooting,Sum_Blocked,Sum_Bad_Coverge,Sum_Loaded,Sum_cross_sector,Sum_back_lobe,SUM_col,Nearest_per,overshooting_per,Blocked_per,Bad_Coverge_per,Loaded_per,cross_sector_per,back_lobe_per
89,89,G4947A,30.59845281,31.51069888,30.0,69,0,2,0,0,0,0,71,97.18,0.0,2.82,0.0,0.0,0.0,0.0
90,90,G4947B,30.59845281,31.51069888,150.0,64,0,0,0,0,0,0,64,100.0,0.0,0.0,0.0,0.0,0.0,0.0
91,91,G4947C,30.59845281,31.51069888,270.0,2,0,63,0,1,0,0,66,3.03,0.0,95.45,0.0,1.52,0.0,0.0
92,92,G55561,30.591062,31.494571,30.0,6,0,5,0,0,0,0,11,54.55,0.0,45.45,0.0,0.0,0.0,0.0
93,93,G55562,30.591062,31.494571,150.0,185,0,1,1,0,0,0,187,98.93,0.0,0.53,0.53,0.0,0.0,0.0
94,94,G55563,30.591062,31.494571,270.0,73,0,0,0,0,0,0,73,100.0,0.0,0.0,0.0,0.0,0.0,0.0
95,95,G55565,30.591062,31.494571,30.0,123,0,15,0,4,0,0,142,86.62,0.0,10.56,0.0,2.82,0.0,0.0
96,96,G55566,30.591062,31.494571,150.0,97,0,0,0,0,0,0,97,100.0,0.0,0.0,0.0,0.0,0.0,0.0
97,97,G55567,30.591062,31.494571,270.0,195,0,12,0,4,0,0,211,92.42,0.0,5.69,0.0,1.9,0.0,0.0
98,98,G5556B,30.591062,31.494571,150.0,62,0,0,0,0,0,0,62,100.0,0.0,0.0,0.0,0.0,0.0,0.0
99,99,G5556C,30.591062,31.494571,270.0,53,0,0,0,0,0,0,53,100.0,0.0,0.0,0.0,0.0,0.0,0.0
100,100,G56691,30.58325834,31.49975444,40.0,338,0,1,0,2,0,0,341,99.12,0.0,0.29,0.0,0.59,0.0,0.0
101,101,G56692,30.58325834,31.49975444,260.0,57,1,1,0,1,0,0,60,95.0,1.67,1.67,0.0,1.67,0.0,0.0
102,102,G56693,30.58325834,31.49975444,330.0,56,0,180,0,3,0,0,239,23.43,0.0,75.31,0.0,1.26,0.0,0.0
103,103,G56695,30.58325834,31.49975444,40.0,58,0,44,0,8,0,0,110,52.73,0.0,40.0,0.0,7.27,0.0,0.0
104,104,G56696,30.58325834,31.49975444,260.0,0,0,21,0,0,0,0,21,0.0,0.0,100.0,0.0,0.0,0.0,0.0
105,105,G56697,30.58325834,31.49975444,330.0,75,0,0,0,0,0,0,75,100.0,0.0,0.0,0.0,0.0,0.0,0.0
106,106,G5669A,30.58325834,31.49975444,40.0,16,0,0,0,0,0,0,16,100.0,0.0,0.0,0.0,0.0,0.0,0.0
107,107,G5669B,30.58325834,31.49975444,260.0,86,0,0,0,1,0,0,87,98.85,0.0,0.0,0.0,1.15,0.0,0.0
108,108,G5669C,30.58325834,31.49975444,330.0,92,0,102,0,2,0,0,196,46.94,0.0,52.04,0.0,1.02,0.0,0.0
109,109,G59591,30.59312778,31.50244444,30.0,19,1,1,0,0,0,0,21,90.48,4.76,4.76,0.0,0.0,0.0,0.0
110,110,G59592,30.59312778,31.50244444,150.0,51,0,0,0,0,0,0,51,100.0,0.0,0.0,0.0,0.0,0.0,0.0
111,111,G59593,30.59312778,31.50244444,270.0,113,0,42,0,1,0,0,156,72.44,0.0,26.92,0.0,0.64,0.0,0.0
112,112,G59595,30.59312778,31.50244444,30.0,47,0,33,0,0,0,0,80,58.75,0.0,41.25,0.0,0.0,0.0,0.0
113,113,G59596,30.59312778,31.50244444,150.0,196,0,34,0,0,0,0,230,85.22,0.0,14.78,0.0,0.0,0.0,0.0
114,114,G59597,30.59312778,31.50244444,270.0,130,0,39,0,0,0,0,169,76.92,0.0,23.08,0.0,0.0,0.0,0.0
115,115,G5959A,30.59312778,31.50244444,30.0,20,1,38,0,0,0,0,59,33.9,1.69,64.41,0.0,0.0,0.0,0.0
116,116,G5959B,30.59312778,31.50244444,150.0,160,0,0,0,0,0,0,160,100.0,0.0,0.0,0.0,0.0,0.0,0.0
117,117,G5959C,30.59312778,31.50244444,270.0,83,2,54,0,0,0,0,139,59.71,1.44,38.85,0.0,0.0,0.0,0.0
118,118,G59601,30.58304167,31.4822,5.0,241,0,0,0,0,0,0,241,100.0,0.0,0.0,0.0,0.0,0.0,0.0
119,119,G59602,30.58304167,31.4822,70.0,3,0,20,0,0,0,0,23,13.04,0.0,86.96,0.0,0.0,0.0,0.0
120,120,G59603,30.58304167,31.4822,140.0,0,0,7,0,0,0,0,7,0.0,0.0,100.0,0.0,0.0,0.0,0.0
121,121,G59604,30.58304167,31.4822,250.0,0,0,7,0,0,0,0,7,0.0,0.0,100.0,0.0,0.0,0.0,0.0
122,122,G59605,30.58304167,31.4822,5.0,47,0,1,0,0,0,0,48,97.92,0.0,2.08,0.0,0.0,0.0,0.0
123,123,G59606,30.58304167,31.4822,70.0,22,0,6,0,0,0,0,28,78.57,0.0,21.43,0.0,0.0,0.0,0.0
124,124,G59608,30.58304167,31.4822,250.0,33,0,0,0,0,0,0,33,100.0,0.0,0.0,0.0,0.0,0.0,0.0
125,125,G59611,30.57741667,31.48541667,40.0,45,18,0,0,0,0,0,63,71.43,28.57,0.0,0.0,0.0,0.0,0.0
126,126,G59616,30.57741667,31.48541667,115.0,10,0,15,0,0,0,0,25,40.0,0.0,60.0,0.0,0.0,0.0,0.0
127,127,G59617,30.57741667,31.48541667,175.0,0,0,102,0,0,0,0,102,0.0,0.0,100.0,0.0,0.0,0.0,0.0
128,128,G63191,30.587,31.51008889,40.0,99,0,0,0,0,0,0,99,100.0,0.0,0.0,0.0,0.0,0.0,0.0
129,129,G63192,30.587,31.51008889,150.0,291,0,0,2,0,0,0,293,99.32,0.0,0.0,0.68,0.0,0.0,0.0
130,130,G63193,30.587,31.51008889,270.0,59,0,1,0,0,0,0,60,98.33,0.0,1.67,0.0,0.0,0.0,0.0
131,131,G63195,30.587,31.51008889,40.0,0,0,3,0,0,0,0,3,0.0,0.0,100.0,0.0,0.0,0.0,0.0
132,132,G63196,30.587,31.51008889,150.0,72,0,0,0,0,0,0,72,100.0,0.0,0.0,0.0,0.0,0.0,0.0
133,133,G63197,30.587,31.51008889,270.0,47,0,0,0,0,0,0,47,100.0,0.0,0.0,0.0,0.0,0.0,0.0
134,134,G6319A,30.587,31.51008889,40.0,52,0,13,0,0,0,0,65,80.0,0.0,20.0,0.0,0.0,0.0,0.0
135,135,G6319B,30.587,31.51008889,150.0,22,0,0,0,0,0,0,22,100.0,0.0,0.0,0.0,0.0,0.0,0.0
136,136,G6319C,30.587,31.51008889,270.0,102,0,1,0,1,0,0,104,98.08,0.0,0.96,0.0,0.96,0.0,0.0
137,137,G63201,30.58178612,31.51331001,30.0,37,0,3,0,0,0,0,40,92.5,0.0,7.5,0.0,0.0,0.0,0.0
138,138,G63203,30.58178612,31.51331001,270.0,58,0,47,0,9,0,0,114,50.88,0.0,41.23,0.0,7.89,0.0,0.0
139,139,G63205,30.58178612,31.51331001,30.0,1,0,0,2,0,0,0,3,33.33,0.0,0.0,66.67,0.0,0.0,0.0
140,140,G63207,30.58178612,31.51331001,270.0,0,0,32,0,3,0,0,35,0.0,0.0,91.43,0.0,8.57,0.0,0.0
